id_legislatura,entidad,legislatura,inicio_legislatura,fin_legislatura,ejercicio_constitucional,inicio_ec,fin_ec,periodos_reportar,inicio_pr,fin_pr,observaciones,articulo,fuente
1,Aguascalientes,LXV,15/09/2021,14/09/2024,Primer año,15/09/2021,14/09/2022,Primer periodo ordinario,15/09/2021,31/12/2021,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
2,Aguascalientes,LXV,15/09/2021,14/09/2024,Primer año,15/09/2021,14/09/2022,Primer periodo de receso,01/01/2022,28/02/2022,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
3,Aguascalientes,LXV,15/09/2021,14/09/2024,Primer año,15/09/2021,14/09/2022,Segundo periodo ordinario,01/03/2022,30/06/2022,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
4,Aguascalientes,LXV,15/09/2021,14/09/2024,Primer año,15/09/2021,14/09/2022,Segundo periodo de receso,01/07/2022,14/09/2022,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
5,Aguascalientes,LXV,15/09/2021,14/09/2024,Segundo año,15/09/2022,14/09/2023,Primer periodo ordinario,15/09/2022,31/12/2022,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
6,Aguascalientes,LXV,15/09/2021,14/09/2024,Segundo año,15/09/2022,14/09/2023,Primer periodo de receso,01/01/2023,28/02/2023,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
7,Aguascalientes,LXV,15/09/2021,14/09/2024,Segundo año,15/09/2022,14/09/2023,Segundo periodo ordinario,01/03/2023,30/06/2023,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
8,Aguascalientes,LXV,15/09/2021,14/09/2024,Segundo año,15/09/2022,14/09/2023,Segundo periodo de receso,01/07/2023,14/09/2023,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
9,Aguascalientes,LXV,15/09/2021,14/09/2024,Tercer año,15/09/2023,14/09/2024,Primer periodo ordinario,15/09/2023,31/12/2023,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
10,Aguascalientes,LXV,15/09/2021,14/09/2024,Tercer año,15/09/2023,14/09/2024,Primer periodo de receso,01/01/2024,28/02/2024,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
11,Aguascalientes,LXV,15/09/2021,14/09/2024,Tercer año,15/09/2023,14/09/2024,Segundo periodo ordinario,01/03/2024,30/06/2024,Inició el 15 de septiembre de 2021 y concluirá su periodo el 14 de septiembre de 2024,Artículo 24.,https://eservicios2.aguascalientes.gob.mx/NormatecaAdministrador/archivos/EDO-5-1.pdf
